"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051536","GO:0051536","iron-sulfur cluster binding","3/18","92/30629",2.07111451922446e-05,0.000569769547120408,0.000208249103479681,"Q8K3J1/Q9D6J6/Q8WTY4",3
"GO:0051540","GO:0051540","metal cluster binding","3/18","92/30629",2.07111451922446e-05,0.000569769547120408,0.000208249103479681,"Q8K3J1/Q9D6J6/Q8WTY4",3
"GO:0016421","GO:0016421","CoA carboxylase activity","2/18","13/30629",2.53454870592964e-05,0.000569769547120408,0.000208249103479681,"Q91ZA3/Q99MN9",2
"GO:0009055","GO:0009055","electron transfer activity","3/18","106/30629",3.16538637289116e-05,0.000569769547120408,0.000208249103479681,"Q99LC5/Q8K3J1/Q9D6J6",3
"GO:0016885","GO:0016885","ligase activity, forming carbon-carbon bonds","2/18","17/30629",4.41306137879047e-05,0.000635480838545827,0.000232266388357393,"Q91ZA3/Q99MN9",2
"GO:0051087","GO:0051087","chaperone binding","3/18","181/30629",0.000155143294826693,0.00153340911007111,0.000560456546078623,"P10637/Q9D2G2/O35857",3
"GO:0008137","GO:0008137","NADH dehydrogenase (ubiquinone) activity","2/18","33/30629",0.000170378790007901,0.00153340911007111,0.000560456546078623,"Q8K3J1/Q9D6J6",2
"GO:0050136","GO:0050136","NADH dehydrogenase (quinone) activity","2/18","33/30629",0.000170378790007901,0.00153340911007111,0.000560456546078623,"Q8K3J1/Q9D6J6",2
"GO:0003954","GO:0003954","NADH dehydrogenase activity","2/18","35/30629",0.000191865192492668,0.00153492153994135,0.000561009334773884,"Q8K3J1/Q9D6J6",2
"GO:0051537","GO:0051537","2 iron, 2 sulfur cluster binding","2/18","37/30629",0.000214610560930151,0.00154519603869709,0.000564764634026713,"Q9D6J6/Q8WTY4",2
"GO:0003955","GO:0003955","NAD(P)H dehydrogenase (quinone) activity","2/18","39/30629",0.000238612237224725,0.00156182555274365,0.000570842672786423,"Q8K3J1/Q9D6J6",2
"GO:0051539","GO:0051539","4 iron, 4 sulfur cluster binding","2/18","54/30629",0.000458402358235615,0.00275041414941369,0.00100526832946407,"Q8K3J1/Q8WTY4",2
"GO:0016655","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","2/18","64/30629",0.000643556341315924,0.00356431204421127,0.00130274563019418,"Q8K3J1/Q9D6J6",2
"GO:0015453","GO:0015453","oxidoreduction-driven active transmembrane transporter activity","2/18","75/30629",0.000882464197755909,0.00453838730274467,0.00165876728901487,"Q8K3J1/Q9D6J6",2
"GO:0016651","GO:0016651","oxidoreductase activity, acting on NAD(P)H","2/18","107/30629",0.00178345051890532,0.00856056249074554,0.00312886055948302,"Q8K3J1/Q9D6J6",2
"GO:0050660","GO:0050660","flavin adenine dinucleotide binding","2/18","131/30629",0.00265560551334357,0.0119502248100461,0.00436777222589404,"Q99LC5/Q8R1S0",2
"GO:0008017","GO:0008017","microtubule binding","3/18","498/30629",0.00290669733507161,0.0123107181250092,0.00449953147843903,"P10637/O08715/P70302",3
"GO:0016874","GO:0016874","ligase activity","2/18","250/30629",0.00931435175165607,0.0358066287195836,0.013087218099263,"Q91ZA3/Q99MN9",2
"GO:0031072","GO:0031072","heat shock protein binding","2/18","258/30629",0.00989377270261759,0.0358066287195836,0.013087218099263,"P10637/Q9D2G2",2
"GO:0036042","GO:0036042","long-chain fatty acyl-CoA binding","1/18","17/30629",0.00994628575543988,0.0358066287195836,0.013087218099263,"Q8VHQ9",1
"GO:0015399","GO:0015399","primary active transmembrane transporter activity","2/18","282/30629",0.0117260894221622,0.0402037351616991,0.0146943476468198,"Q8K3J1/Q9D6J6",2
"GO:0030346","GO:0030346","protein phosphatase 2B binding","1/18","22/30629",0.0128538356119435,0.0420670983663607,0.0153754014496932,"O08715",1
"GO:0102991","GO:0102991","myristoyl-CoA hydrolase activity","1/18","25/30629",0.0145944926334522,0.0456871073742853,0.016698504157268,"Q8VHQ9",1
"GO:0016747","GO:0016747","acyltransferase activity, transferring groups other than amino-acyl groups","2/18","335/30629",0.0162562564592983,0.0487687693778948,0.0178248426088797,"Q9D2G2/P53395",2
"GO:0015279","GO:0015279","store-operated calcium channel activity","1/18","33/30629",0.0192220836306949,0.0523948377691599,0.0191501600033479,"P70302",1
"GO:0016290","GO:0016290","palmitoyl-CoA hydrolase activity","1/18","33/30629",0.0192220836306949,0.0523948377691599,0.0191501600033479,"Q8VHQ9",1
"GO:0016417","GO:0016417","S-acyltransferase activity","1/18","34/30629",0.0197990872421034,0.0523948377691599,0.0191501600033479,"Q9D2G2",1
"GO:0034185","GO:0034185","apolipoprotein binding","1/18","35/30629",0.0203757702435622,0.0523948377691599,0.0191501600033479,"P10637",1
"GO:0016746","GO:0016746","acyltransferase activity","2/18","392/30629",0.0218339512382094,0.0529016693233914,0.0193354054544559,"Q9D2G2/P53395",2
"GO:0019903","GO:0019903","protein phosphatase binding","2/18","394/30629",0.0220423622180798,0.0529016693233914,0.0193354054544559,"P10637/O08715",2
"GO:0051787","GO:0051787","misfolded protein binding","1/18","41/30629",0.0238291448272683,0.0552625752905092,0.0201983096822036,"Q9ER39",1
"GO:0034237","GO:0034237","protein kinase A regulatory subunit binding","1/18","45/30629",0.0261250035581407,0.0552625752905092,0.0201983096822036,"O08715",1
"GO:0000062","GO:0000062","fatty-acyl-CoA binding","1/18","46/30629",0.0266981708984483,0.0552625752905092,0.0201983096822036,"Q8VHQ9",1
"GO:1901567","GO:1901567","fatty acid derivative binding","1/18","47/30629",0.0272710196354532,0.0552625752905092,0.0201983096822036,"Q8VHQ9",1
"GO:0047617","GO:0047617","acyl-CoA hydrolase activity","1/18","48/30629",0.0278435499358443,0.0552625752905092,0.0201983096822036,"Q8VHQ9",1
"GO:0016289","GO:0016289","CoA hydrolase activity","1/18","50/30629",0.028987655893128,0.0552625752905092,0.0201983096822036,"Q8VHQ9",1
"GO:0120227","GO:0120227","acyl-CoA binding","1/18","52/30629",0.0301304901021685,0.0552625752905092,0.0201983096822036,"Q8VHQ9",1
"GO:0051010","GO:0051010","microtubule plus-end binding","1/18","53/30629",0.0307014307169495,0.0552625752905092,0.0201983096822036,"P70302",1
"GO:0071813","GO:0071813","lipoprotein particle binding","1/18","53/30629",0.0307014307169495,0.0552625752905092,0.0201983096822036,"P10637",1
"GO:0071814","GO:0071814","protein-lipid complex binding","1/18","53/30629",0.0307014307169495,0.0552625752905092,0.0201983096822036,"P10637",1
"GO:0019902","GO:0019902","phosphatase binding","2/18","494/30629",0.0334929017889596,0.0588168031415877,0.0214973695692937,"P10637/O08715",2
"GO:0071949","GO:0071949","FAD binding","1/18","64/30629",0.0369608630635495,0.0633614795375134,0.0231584355034771,"Q8R1S0",1
"GO:0048487","GO:0048487","beta-tubulin binding","1/18","76/30629",0.0437457872686027,0.0732487600776603,0.0267722076307238,"O08715",1
"GO:0051721","GO:0051721","protein phosphatase 2A binding","1/18","79/30629",0.0454349503558975,0.0743481005823777,0.0271740133707521,"P10637",1
"GO:0016790","GO:0016790","thiolester hydrolase activity","1/18","81/30629",0.0465594930793253,0.0744951889269204,0.0272277737305996,"Q8VHQ9",1
"GO:0005246","GO:0005246","calcium channel regulator activity","1/18","83/30629",0.0476827845321729,0.074633923615575,0.0272784808536458,"P70302",1
"GO:0005504","GO:0005504","fatty acid binding","1/18","85/30629",0.0488048260249068,0.0747648398679423,0.02732633036109,"P53395",1
"GO:0016709","GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","1/18","96/30629",0.0549537696373061,0.0799356946220367,0.0292162626542532,"Q8R1S0",1
"GO:0051879","GO:0051879","Hsp90 protein binding","1/18","96/30629",0.0549537696373061,0.0799356946220367,0.0292162626542532,"P10637",1
"GO:0051018","GO:0051018","protein kinase A binding","1/18","97/30629",0.055510899043081,0.0799356946220367,0.0292162626542532,"O08715",1
"GO:0008028","GO:0008028","monocarboxylic acid transmembrane transporter activity","1/18","100/30629",0.0571804266764934,0.0807253082491671,0.0295048641261576,"P63030",1
"GO:0019894","GO:0019894","kinesin binding","1/18","118/30629",0.0671392088194533,0.09296198144232,0.0339773323985088,"Q9ER39",1
"GO:0051082","GO:0051082","unfolded protein binding","1/18","147/30629",0.0829752226414726,0.112721057173321,0.0411992168031145,"Q9ER39",1
"GO:0033293","GO:0033293","monocarboxylic acid binding","1/18","150/30629",0.0845988603510289,0.112798480468039,0.0412275147909498,"P53395",1
"GO:0016407","GO:0016407","acetyltransferase activity","1/18","154/30629",0.0867594875838446,0.113576056473396,0.041511716547294,"P53395",1
"GO:0052689","GO:0052689","carboxylic ester hydrolase activity","1/18","224/30629",0.12379963532462,0.157033708871674,0.0573953614297053,"Q8VHQ9",1
"GO:0004497","GO:0004497","monooxygenase activity","1/18","225/30629",0.124318352856742,0.157033708871674,0.0573953614297053,"Q8R1S0",1
"GO:0005262","GO:0005262","calcium channel activity","1/18","235/30629",0.129489601460015,0.16074571215726,0.0587520877767764,"P70302",1
"GO:0017124","GO:0017124","SH3 domain binding","1/18","263/30629",0.143816092530634,0.165520966432514,0.0604974292516497,"P10637",1
"GO:0043177","GO:0043177","organic acid binding","1/18","263/30629",0.143816092530634,0.165520966432514,0.0604974292516497,"P53395",1
"GO:0099106","GO:0099106","ion channel regulator activity","1/18","263/30629",0.143816092530634,0.165520966432514,0.0604974292516497,"P70302",1
"GO:0046943","GO:0046943","carboxylic acid transmembrane transporter activity","1/18","264/30629",0.144323611147984,0.165520966432514,0.0604974292516497,"P63030",1
"GO:0005342","GO:0005342","organic acid transmembrane transporter activity","1/18","265/30629",0.144830845628449,0.165520966432514,0.0604974292516497,"P63030",1
"GO:0016247","GO:0016247","channel regulator activity","1/18","280/30629",0.152405368045136,0.169931634810502,0.0621095156471132,"P70302",1
"GO:0015085","GO:0015085","calcium ion transmembrane transporter activity","1/18","282/30629",0.15341050364837,0.169931634810502,0.0621095156471132,"P70302",1
"GO:0008168","GO:0008168","methyltransferase activity","1/18","301/30629",0.162903309380936,0.175060272767573,0.0639840178244052,"Q8WTY4",1
"GO:0008514","GO:0008514","organic anion transmembrane transporter activity","1/18","301/30629",0.162903309380936,0.175060272767573,0.0639840178244052,"P63030",1
"GO:0031406","GO:0031406","carboxylic acid binding","1/18","313/30629",0.168846873323709,0.178246109667692,0.0651484318960862,"P53395",1
"GO:0016741","GO:0016741","transferase activity, transferring one-carbon groups","1/18","317/30629",0.170819188431538,0.178246109667692,0.0651484318960862,"Q8WTY4",1
"GO:0002020","GO:0002020","protease binding","1/18","332/30629",0.178176073022944,0.183266817966457,0.0669834860988511,"P70302",1
"GO:0016705","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","1/18","346/30629",0.184986841717379,0.187592290192272,0.0685644335498071,"Q8R1S0",1
"GO:0008509","GO:0008509","anion transmembrane transporter activity","1/18","498/30629",0.255581380086213,0.255581380086213,0.093414247107534,"P63030",1
